wavelength,absolute_irradiance,arena,light_environment
189.549,0,horizontal,bright
190.018,0,horizontal,bright
190.487,0,horizontal,bright
190.955,0,horizontal,bright
191.424,0,horizontal,bright
191.893,0,horizontal,bright
192.361,0,horizontal,bright
192.83,0,horizontal,bright
193.299,0,horizontal,bright
193.767,0,horizontal,bright
194.235,0,horizontal,bright
194.704,0,horizontal,bright
195.172,0,horizontal,bright
195.64,0,horizontal,bright
196.109,0,horizontal,bright
196.577,0,horizontal,bright
197.045,0,horizontal,bright
197.513,0,horizontal,bright
197.981,0,horizontal,bright
198.449,0,horizontal,bright
198.917,0,horizontal,bright
199.385,0,horizontal,bright
199.853,0,horizontal,bright
200.32,1.54,horizontal,bright
200.788,0.06,horizontal,bright
201.256,0.51,horizontal,bright
201.723,0.12,horizontal,bright
202.191,0.33,horizontal,bright
202.658,0.29,horizontal,bright
203.126,0.24,horizontal,bright
203.593,0.22,horizontal,bright
204.061,0.5,horizontal,bright
204.528,-0.16,horizontal,bright
204.995,0.2,horizontal,bright
205.462,-0.05,horizontal,bright
205.929,0.27,horizontal,bright
206.396,0.26,horizontal,bright
206.863,0.58,horizontal,bright
207.33,0.36,horizontal,bright
207.797,0.22,horizontal,bright
208.264,0.03,horizontal,bright
208.731,0.32,horizontal,bright
209.198,0.37,horizontal,bright
209.665,0.23,horizontal,bright
210.131,0.28,horizontal,bright
210.598,0.35,horizontal,bright
211.064,0.2,horizontal,bright
211.531,0.31,horizontal,bright
211.997,0.22,horizontal,bright
212.464,-0.02,horizontal,bright
212.93,-0.06,horizontal,bright
213.396,0.11,horizontal,bright
213.863,0.07,horizontal,bright
214.329,0.23,horizontal,bright
214.795,0.17,horizontal,bright
215.261,0.28,horizontal,bright
215.727,0.2,horizontal,bright
216.193,0.84,horizontal,bright
216.659,0.22,horizontal,bright
217.125,0.15,horizontal,bright
217.591,0.13,horizontal,bright
218.056,0.13,horizontal,bright
218.522,0.1,horizontal,bright
218.988,0.08,horizontal,bright
219.453,0.16,horizontal,bright
219.919,0.1,horizontal,bright
220.385,0.04,horizontal,bright
220.85,0.12,horizontal,bright
221.315,0.11,horizontal,bright
221.781,0.11,horizontal,bright
222.246,0.14,horizontal,bright
222.711,-0.02,horizontal,bright
223.176,0.01,horizontal,bright
223.642,0.18,horizontal,bright
224.107,-0.05,horizontal,bright
224.572,0.16,horizontal,bright
225.037,0.14,horizontal,bright
225.502,0.07,horizontal,bright
225.967,0.06,horizontal,bright
226.431,0.16,horizontal,bright
226.896,0.09,horizontal,bright
227.361,-0.03,horizontal,bright
227.826,0.04,horizontal,bright
228.29,0.11,horizontal,bright
228.755,0.09,horizontal,bright
229.219,0.04,horizontal,bright
229.684,0.08,horizontal,bright
230.148,0.05,horizontal,bright
230.612,0.1,horizontal,bright
231.077,0.09,horizontal,bright
231.541,0.07,horizontal,bright
232.005,0.09,horizontal,bright
232.469,0.03,horizontal,bright
232.933,0.11,horizontal,bright
233.398,0.03,horizontal,bright
233.862,0.04,horizontal,bright
234.325,0.06,horizontal,bright
234.789,0,horizontal,bright
235.253,0.02,horizontal,bright
235.717,0.02,horizontal,bright
236.181,-0.02,horizontal,bright
236.644,0,horizontal,bright
237.108,0,horizontal,bright
237.572,0.03,horizontal,bright
238.035,0.02,horizontal,bright
238.499,-0.01,horizontal,bright
238.962,0.02,horizontal,bright
239.425,0.03,horizontal,bright
239.889,0.08,horizontal,bright
240.352,0.02,horizontal,bright
240.815,0.03,horizontal,bright
241.278,0.03,horizontal,bright
241.741,0.02,horizontal,bright
242.204,0.05,horizontal,bright
242.667,0.06,horizontal,bright
243.13,0.08,horizontal,bright
243.593,-0.04,horizontal,bright
244.056,0.05,horizontal,bright
244.519,0.05,horizontal,bright
244.981,0.01,horizontal,bright
245.444,0.01,horizontal,bright
245.907,0.04,horizontal,bright
246.369,0.01,horizontal,bright
246.832,0.04,horizontal,bright
247.294,-0.02,horizontal,bright
247.757,-0.01,horizontal,bright
248.219,0,horizontal,bright
248.681,0.03,horizontal,bright
249.144,0.06,horizontal,bright
249.606,0.02,horizontal,bright
250.068,0.03,horizontal,bright
250.53,0.04,horizontal,bright
250.992,0.02,horizontal,bright
251.454,0,horizontal,bright
251.916,0.04,horizontal,bright
252.378,0.01,horizontal,bright
252.84,0.04,horizontal,bright
253.302,0.05,horizontal,bright
253.763,0,horizontal,bright
254.225,-0.01,horizontal,bright
254.687,0,horizontal,bright
255.148,0.04,horizontal,bright
255.61,0.02,horizontal,bright
256.071,0,horizontal,bright
256.533,0.02,horizontal,bright
256.994,0.02,horizontal,bright
257.455,-0.02,horizontal,bright
257.916,-0.01,horizontal,bright
258.378,0.01,horizontal,bright
258.839,0.01,horizontal,bright
259.3,-0.01,horizontal,bright
259.761,0.04,horizontal,bright
260.222,0.03,horizontal,bright
