individual,eye,probe,group,lens_periphery_1_grey_value,lens_centre_grey_value,lens_periphery_2_grey_value
C14,RE2,control,control,87.40806,76.87477,83.61019
C14,RE1,control,control,81.42706,73.93474,75.63162
249_16,LE2,lens3_249,lens3,70.75377,41.72815,63.7594
191_21,RE1,lens3_191,lens3,62.01892,44.13358,65.53566
C18,LE2,control,control,77.93387,81.3769,77.19555
249_18,RE2,lens3_249,lens3,71.37579,31.88833,42.73472
191_21,RE2,lens3_191,lens3,83.46642,64.01192,49.54003
C18,LE1,control,control,68.92526,73.66835,74.3328
191_18,RE1,lens3_191,lens3,71.83882,40.63637,66.39521
191_18,RE2,lens3_191,lens3,83.9365,51.2247,73.49551
191_20,RE2,lens3_191,lens3,73.33224,51.2247,73.49551
191_20,RE1,lens3_191,lens3,72.61825,58.31213,63.90971
249_12,LE2,lens3_249,lens3,84.35987,41.43701,70.9815
249_12,LE1,lens3_249,lens3,63.89671,18.05546,61.57711
249_12,RE2,lens3_249,lens3,81.25949,30.48732,70.97874
249_12,RE1,lens3_249,lens3,72.46748,56.71589,73.8666
