distance,contrast,probe,eye,individual
185,1.786491773,lens3_191,LE1,191_14
190,1.829818349,lens3_191,LE1,191_14
195,1.845333657,lens3_191,LE1,191_14
200,1.827550912,lens3_191,LE1,191_14
205,1.801214027,lens3_191,LE1,191_14
210,1.779322879,lens3_191,LE1,191_14
215,1.760985281,lens3_191,LE1,191_14
220,1.749263318,lens3_191,LE1,191_14
225,1.749359746,lens3_191,LE1,191_14
230,1.788779825,lens3_191,LE1,191_14
235,1.824556783,lens3_191,LE1,191_14
240,1.854226821,lens3_191,LE1,191_14
245,1.895088381,lens3_191,LE1,191_14
250,1.903976202,lens3_191,LE1,191_14
255,1.881995895,lens3_191,LE1,191_14
260,1.867637592,lens3_191,LE1,191_14
265,1.866362118,lens3_191,LE1,191_14
270,1.883846287,lens3_191,LE1,191_14
275,1.927415766,lens3_191,LE1,191_14
280,1.994821958,lens3_191,LE1,191_14
285,2.050179144,lens3_191,LE1,191_14
290,2.076489281,lens3_191,LE1,191_14
295,2.110991081,lens3_191,LE1,191_14
300,2.08469684,lens3_191,LE1,191_14
305,2.074927379,lens3_191,LE1,191_14
310,2.056668754,lens3_191,LE1,191_14
315,2.012836094,lens3_191,LE1,191_14
320,2.046341659,lens3_191,LE1,191_14
325,2.066574737,lens3_191,LE1,191_14
330,2.108069535,lens3_191,LE1,191_14
335,2.162792558,lens3_191,LE1,191_14
340,2.208846108,lens3_191,LE1,191_14
345,2.28437801,lens3_191,LE1,191_14
350,2.342567026,lens3_191,LE1,191_14
355,2.35775046,lens3_191,LE1,191_14
360,2.370177339,lens3_191,LE1,191_14
365,2.370979826,lens3_191,LE1,191_14
370,2.369238445,lens3_191,LE1,191_14
375,2.331930449,lens3_191,LE1,191_14
380,2.320098386,lens3_191,LE1,191_14
385,2.264662212,lens3_191,LE1,191_14
390,2.261936038,lens3_191,LE1,191_14
395,2.252494382,lens3_191,LE1,191_14
400,2.251012265,lens3_191,LE1,191_14
405,2.265708428,lens3_191,LE1,191_14
410,2.279276247,lens3_191,LE1,191_14
415,2.274261622,lens3_191,LE1,191_14
420,2.276179198,lens3_191,LE1,191_14
425,2.287890456,lens3_191,LE1,191_14
430,2.293870294,lens3_191,LE1,191_14
435,2.2840179,lens3_191,LE1,191_14
440,2.30085291,lens3_191,LE1,191_14
445,2.313610724,lens3_191,LE1,191_14
450,2.338272778,lens3_191,LE1,191_14
455,2.356902015,lens3_191,LE1,191_14
460,2.377481483,lens3_191,LE1,191_14
465,2.399133437,lens3_191,LE1,191_14
470,2.415339024,lens3_191,LE1,191_14
475,2.406790254,lens3_191,LE1,191_14
480,2.382543562,lens3_191,LE1,191_14
485,2.345985467,lens3_191,LE1,191_14
490,2.303866853,lens3_191,LE1,191_14
495,2.239603893,lens3_191,LE1,191_14
500,2.168978231,lens3_191,LE1,191_14
505,2.109147257,lens3_191,LE1,191_14
510,2.015225518,lens3_191,LE1,191_14
515,1.989576487,lens3_191,LE1,191_14
520,1.979147794,lens3_191,LE1,191_14
525,1.95933545,lens3_191,LE1,191_14
530,1.957234783,lens3_191,LE1,191_14
535,1.943714532,lens3_191,LE1,191_14
540,1.912671617,lens3_191,LE1,191_14
545,1.895623574,lens3_191,LE1,191_14
185,1.723079669,lens3_191,RE1,191_14
190,1.772203008,lens3_191,RE1,191_14
195,1.784277402,lens3_191,RE1,191_14
200,1.814612674,lens3_191,RE1,191_14
205,1.833456845,lens3_191,RE1,191_14
210,1.850460941,lens3_191,RE1,191_14
215,1.87866669,lens3_191,RE1,191_14
220,1.934708919,lens3_191,RE1,191_14
225,1.946987472,lens3_191,RE1,191_14
230,1.972994041,lens3_191,RE1,191_14
235,1.977643037,lens3_191,RE1,191_14
240,1.98323379,lens3_191,RE1,191_14
245,1.962273521,lens3_191,RE1,191_14
250,1.976391109,lens3_191,RE1,191_14
255,1.982997124,lens3_191,RE1,191_14
260,1.992716999,lens3_191,RE1,191_14
265,2.005617924,lens3_191,RE1,191_14
270,2.034880975,lens3_191,RE1,191_14
275,2.105927636,lens3_191,RE1,191_14
280,2.133950799,lens3_191,RE1,191_14
285,2.151330771,lens3_191,RE1,191_14
290,2.198390758,lens3_191,RE1,191_14
295,2.254838905,lens3_191,RE1,191_14
300,2.298482609,lens3_191,RE1,191_14
305,2.304698531,lens3_191,RE1,191_14
310,2.320123925,lens3_191,RE1,191_14
315,2.311425401,lens3_191,RE1,191_14
320,2.411292699,lens3_191,RE1,191_14
325,2.508105668,lens3_191,RE1,191_14
330,2.578908575,lens3_191,RE1,191_14
335,2.602145124,lens3_191,RE1,191_14
340,2.562109657,lens3_191,RE1,191_14
345,2.543717423,lens3_191,RE1,191_14
350,2.527649162,lens3_191,RE1,191_14
355,2.533795765,lens3_191,RE1,191_14
360,2.542753518,lens3_191,RE1,191_14
365,2.586989017,lens3_191,RE1,191_14
370,2.7015575,lens3_191,RE1,191_14
375,2.803501378,lens3_191,RE1,191_14
380,2.858920907,lens3_191,RE1,191_14
385,2.936985969,lens3_191,RE1,191_14
390,3.025345596,lens3_191,RE1,191_14
395,3.099241464,lens3_191,RE1,191_14
400,3.14891349,lens3_191,RE1,191_14
405,3.131745381,lens3_191,RE1,191_14
410,3.042737691,lens3_191,RE1,191_14
415,2.931266269,lens3_191,RE1,191_14
420,2.819024736,lens3_191,RE1,191_14
425,2.720269064,lens3_191,RE1,191_14
430,2.66966977,lens3_191,RE1,191_14
435,2.579535769,lens3_191,RE1,191_14
440,2.503491775,lens3_191,RE1,191_14
445,2.437316868,lens3_191,RE1,191_14
450,2.341853875,lens3_191,RE1,191_14
455,2.296133414,lens3_191,RE1,191_14
460,2.243020533,lens3_191,RE1,191_14
465,2.24891101,lens3_191,RE1,191_14
470,2.241787704,lens3_191,RE1,191_14
475,2.2235876,lens3_191,RE1,191_14
480,2.190340954,lens3_191,RE1,191_14
485,2.170962665,lens3_191,RE1,191_14
490,2.133081194,lens3_191,RE1,191_14
495,2.120015961,lens3_191,RE1,191_14
500,2.103894288,lens3_191,RE1,191_14
505,2.093301523,lens3_191,RE1,191_14
510,2.10521883,lens3_191,RE1,191_14
515,2.082227987,lens3_191,RE1,191_14
520,2.074463101,lens3_191,RE1,191_14
525,2.061301231,lens3_191,RE1,191_14
530,2.055581434,lens3_191,RE1,191_14
535,2.024813108,lens3_191,RE1,191_14
540,2.028336992,lens3_191,RE1,191_14
545,2.014446018,lens3_191,RE1,191_14
550,2.00907321,lens3_191,RE1,191_14
555,1.994404806,lens3_191,RE1,191_14
560,1.990741579,lens3_191,RE1,191_14
565,1.968042721,lens3_191,RE1,191_14
570,1.969316142,lens3_191,RE1,191_14
575,1.939191063,lens3_191,RE1,191_14
580,1.917112422,lens3_191,RE1,191_14
585,1.925244137,lens3_191,RE1,191_14
590,1.891082604,lens3_191,RE1,191_14
185,2.098516494,lens3_191,LE1,191_15
190,2.119923812,lens3_191,LE1,191_15
195,2.117779779,lens3_191,LE1,191_15
200,2.110096579,lens3_191,LE1,191_15
205,2.131673112,lens3_191,LE1,191_15
210,2.141138175,lens3_191,LE1,191_15
215,2.149947122,lens3_191,LE1,191_15
220,2.173153254,lens3_191,LE1,191_15
225,2.16413266,lens3_191,LE1,191_15
230,2.151742809,lens3_191,LE1,191_15
235,2.157689215,lens3_191,LE1,191_15
240,2.152413775,lens3_191,LE1,191_15
