individual,probe,eye,peak_1_um,peak_2_um,maximum_sharpness,notes
C11,control,RE1,400,465,4.995363,
C11,control,RE2,290,365,4.105253,
C11,control,LE1,315,400,5.139237,
C11,control,LE2,290,375,4.801438,
C12,control,RE1,350,410,2.76757,Edge sharpness higher for first peak here. This is the only individual in which the right side is really messed up
C12,control,RE2,275,335,2.949909,
C12,control,LE1,360,440,5.458242,
C12,control,LE2,355,420,6.637619,
C13,control,RE1,440,455,3.727,Not super sure of second peak
C13,control,RE2,360,415,4.288933,Unsure of second peak
C14,control,LE1,375,480,3.0866,Unsure of first peak
C14,control,LE2,360,435,3.3984,
C14,control,RE1,NA,435,4.15733,Barely a trace of a first peak around 360
C14,control,RE2,330,385,5.9303,Very small first peak
C15,control,LE1,325,375,4.058867,
C15,control,LE2,335,360,5.270233,
C15,control,RE1,405,460,5.260867,
C15,control,RE2,NA,405,7.9562,No trace of first peak
C16,control,LE1,NA,450,3.857467,No trace of first peak
C16,control,LE2,355,415,4.243567,Very small first peak
C16,control,RE1,395,460,3.2039,Very unsure of first peak
C16,control,RE2,NA,390,4.184,No trace of first peak
C17,control,LE1,NA,440,4.0701,No trace of first peak
C17,control,LE2,NA,385,4.885933,No trace of first peak
C17,control,RE1,NA,430,3.984033,No trace of first peak
C17,control,RE2,335,400,3.559833,There's a weird third peak after this
C18,control,LE1,NA,490,3.8015,No trace of first peak
C18,control,LE2,360,410,4.633533,Very small first peak
C18,control,RE1,425,480,4.073833,
C18,control,RE2,370,435,4.785,
C19,control,LE1,NA,385,4.5587,No trace of first peak
C19,control,LE2,315,370,6.633,
C19,control,RE1,365,425,2.997733,
C19,control,RE2,300,325,5.381467,
C20,control,LE1,NA,345,7.2199,No trace of first peak
C20,control,LE2,NA,310,7.827167,No trace of first peak
C20,control,RE1,NA,335,3.779233,No trace of first peak
C20,control,RE2,NA,310,5.999433,No trace of first peak
191_14,lens3_191,LE1,365,470,2.415339,
191_14,lens3_191,LE2,300,390,3.097913,
191_14,lens3_191,RE1,335,400,3.148913,
191_14,lens3_191,RE2,NA,350,3.905146,No trace of first peak
191_15,lens3_191,LE1,NA,280,2.288309,Can't make out peaks very well
191_15,lens3_191,LE2,NA,NA,2.660935,Can't make out peaks at all
191_15,lens3_191,RE1,NA,350,2.236485,"No trace of first peak, second very small"
191_15,lens3_191,RE2,NA,315,2.425471,No trace of first peak
191_16,lens3_191,LE1,390,475,2.23587,
191_16,lens3_191,LE2,NA,415,3.5813,No trace of first peak
191_16,lens3_191,RE1,NA,455,2.3026,Can't make out first peak
191_16,lens3_191,RE2,360,415,2.835493,
191_17,lens3_191,LE1,420,465,3.178967,Peaks barely visible
191_17,lens3_191,LE2,335,410,3.592767,
191_17,lens3_191,RE1,410,460,2.795367,Very small first peak
191_17,lens3_191,RE2,365,435,2.586167,
191_18,lens3_191,LE1,340,415,2.389033,
191_18,lens3_191,LE2,330,390,4.760733,
191_18,lens3_191,RE1,NA,410,3.737633,No trace of first peak
191_18,lens3_191,RE2,325,385,3.800833,Very small first peak
191_19,lens3_191,LE1,NA,415,2.609133,No trace of first peak
191_19,lens3_191,LE2,300,345,3.8645,
191_19,lens3_191,RE1,NA,380,2.701667,No trace of first peak
191_19,lens3_191,RE2,NA,370,2.9494,Can't make out first peak
191_20,lens3_191,LE1,NA,395,2.7148,No trace of first peak
191_20,lens3_191,LE2,290,365,3.405233,Very unsure of first peak
191_20,lens3_191,RE1,325,435,2.3786,Unsure of second peak; edge sharpness higher for first peak here
191_20,lens3_191,RE2,NA,375,3.322233,No trace of first peak
191_21,lens3_191,LE1,420,470,2.334333,Not too sure of peaks
191_21,lens3_191,LE2,310,395,2.600567,
191_21,lens3_191,RE1,NA,410,2.721567,Can't make out first peak
191_21,lens3_191,RE2,340,405,2.2861,
191_22,lens3_191,LE1,380,425,2.634833,Three peaks. Very weird. Verified against image series to choose the best focused images
