individual,probe,arena,missed_strikes,succesful_strikes,dead_prey_strikes,missed_dead_prey_strikes,total_strikes,latency_min,null_strikes
191_F1,lens3_191,horizontal,2,2,1,1,4,5.03,0
191_F1,lens3_191,vertical,0,2,0,NA,2,8.34,1
191_F2,lens3_191,horizontal,2,2,0,NA,4,5.1,0
191_F2,lens3_191,vertical,0,2,0,NA,2,2.47,0
191_F3,lens3_191,horizontal,3,3,1,1,6,6.13,1
191_F3,lens3_191,vertical,2,2,0,NA,4,10.47,1
191_F4,lens3_191,horizontal,3,2,0,NA,5,6.54,0
191_F4,lens3_191,vertical,9,2,0,0,11,9.37,3
191_F5,lens3_191,horizontal,7,3,0,NA,10,2.1,0
191_F5,lens3_191,vertical,10,0,0,NA,10,NA,2
191_F6,lens3_191,horizontal,2,2,0,NA,4,2.27,0
191_F6,lens3_191,vertical,3,2,0,NA,5,5.02,1
191_F7,lens3_191,horizontal,1,3,1,1,4,1.47,2
191_F7,lens3_191,vertical,13,1,0,NA,14,13.54,3
191_F8,lens3_191,horizontal,0,2,0,NA,2,7.37,0
191_F8,lens3_191,vertical,2,2,0,NA,4,3.24,4
191_F9,lens3_191,horizontal,0,3,1,0,3,1.32,0
191_F9,lens3_191,vertical,1,3,0,NA,4,0.32,0
191_F11,lens3_191,horizontal,0,2,0,NA,2,9.55,0
191_F11,lens3_191,vertical,0,1,0,NA,1,8.04,2
249_F2,lens3_249,horizontal,0,2,0,NA,2,16.22,0
249_F2,lens3_249,vertical,1,1,0,NA,2,17.35,0
249_F3,lens3_249,horizontal,1,2,0,NA,3,12.57,0
249_F4,lens3_249,horizontal,4,3,2,1,7,13.07,0
249_F4,lens3_249,vertical,0,1,0,NA,1,7.11,0
249_F5,lens3_249,horizontal,3,3,0,NA,6,4.21,0
249_F6,lens3_249,horizontal,2,2,0,NA,4,0.4,0
249_F6,lens3_249,vertical,1,2,0,NA,3,7.02,3
249_F7,lens3_249,horizontal,2,3,2,1,9,1.07,0
249_F7,lens3_249,vertical,0,1,0,NA,1,2.04,0
249_F8,lens3_249,horizontal,2,2,0,NA,4,2.06,0
249_F8,lens3_249,vertical,0,2,0,NA,2,6.03,1
249_F9,lens3_249,horizontal,4,2,0,NA,6,8.06,0
249_F9,lens3_249,vertical,5,1,1,1,6,0.45,10
249_F10,lens3_249,horizontal,0,3,1,0,3,3.33,0
249_F10,lens3_249,vertical,5,2,0,NA,7,10.47,1
C_F1,control,horizontal,NA,NA,NA,NA,NA,2.41,NA
C_F1,control,vertical,2,1,0,NA,3,6.01,0
C_F2,control,horizontal,4,3,2,1,7,1.43,2
C_F2,control,vertical,0,2,0,NA,2,2.11,1
C_F3,control,horizontal,0,3,0,NA,3,2.22,0
C_F4,control,horizontal,3,3,0,NA,6,1.46,0
C_F6,control,horizontal,1,2,0,NA,3,0.22,1
C_F6,control,vertical,1,2,0,NA,,7.57,1
C_F7,control,horizontal,1,3,1,1,4,0.4,0
C_F7,control,vertical,3,2,0,NA,5,2.41,0
C_F8,control,horizontal,0,3,0,NA,3,0.23,0
C_F8,control,vertical,1,2,0,NA,2,1.56,1
C_F9,control,horizontal,5,1,0,NA,6,9.55,0
C_F9,control,vertical,0,1,0,NA,1,0.42,0
C_F10,control,horizontal,2,2,0,NA,4,4.03,0
C_F10,control,vertical,6,2,1,1,8,0.45,1
C_F11,control,horizontal,1,2,0,0,3,1.5,0
