individual,group,eye,peak_1,peak_2,average,distance,notes
C1,control,LE1,67,NA,67,515,
C1,control,LE2,28,44,36,360,
C2,control,LE1,32,51,41.5,390,
C2,control,LE2,31,38,34.5,355,unsure about peak 1
C2,control,RE1,32,54,43,395,
C2,control,RE2,49,62,55.5,460,slightly unsure of peaks
IR1,hyperosmotic,LE1,39,52,45.5,410,
IR1,hyperosmotic,LE2,47,60,53.5,450,slightly unsure of peaks
IR1,hyperosmotic,RE1,36,48,42,390,
IR1,hyperosmotic,RE2,25,32,28.5,325,slightly unsure of first peak
IR2,hyperosmotic,LE1,37,60,48.5,425,
IR3,hyperosmotic,LE1,47,NA,47,415,
IR3,hyperosmotic,LE2,19,32,25.5,310,
IR3,hyperosmotic,RE1,45,NA,45,405,
IR3,hyperosmotic,RE2,35,49,42,390,
IR4,hyperosmotic,LE1,47,NA,47,415,
IR4,hyperosmotic,LE2,40,NA,40,380,
IR4,hyperosmotic,RE1,58,NA,58,470,
IR4,hyperosmotic,RE2,26,38,32,340,
IR5,hyperosmotic,LE1,52,NA,52,440,
IR5,hyperosmotic,LE2,31,52,41.5,390,
IR5,hyperosmotic,RE1,39,57,48,420,
IR5,hyperosmotic,RE2,30,54,42,390,
IR6,hyperosmotic,LE1,60,NA,60,480,
IR6,hyperosmotic,LE2,41,51,46,410,
IR6,hyperosmotic,RE1,46,60,53,445,
IR6,hyperosmotic,RE2,37,49,43,395,
IR7,hyperosmotic,LE1,38,52,45,405,
IR7,hyperosmotic,LE2,36,48,42,390,
IR7,hyperosmotic,RE1,55,NA,55,455,
IR7,hyperosmotic,RE2,46,NA,46,410,
C3,control,LE1,51,NA,51,435,
C3,control,LE2,23,41,32,340,
C3,control,RE1,51,NA,51,435,
C3,control,RE2,43,64,53.5,450,
C4,control,LE1,63,NA,63,495,
C4,control,LE2,38,46,42,390,
C4,control,RE1,66,NA,66,510,
C4,control,RE2,54,68,61,485,
C6,control,LE1,50,NA,50,430,
C6,control,LE2,42,NA,42,390,
C6,control,RE1,57,66,61.5,490,
C6,control,RE2,45,NA,45,405,unsure of first peak
C7,control,LE1,55,NA,55,455,
C7,control,LE2,24,36,30,330,
C7,control,RE1,20,NA,20,280,
C7,control,RE2,24,NA,24,300,
